type,index,image_path,true_label,pred_label,failure_reason
FN,589,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_1179.jpg,khong_khau_trang,co_khau_trang,
FN,634,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_1381.jpg,khong_khau_trang,co_khau_trang,
FN,650,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_1485.jpg,khong_khau_trang,co_khau_trang,
FN,659,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_1543.jpg,khong_khau_trang,co_khau_trang,
FN,689,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_1733.jpg,khong_khau_trang,co_khau_trang,
FN,700,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_1806.jpg,khong_khau_trang,co_khau_trang,
FN,738,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_2011.jpg,khong_khau_trang,co_khau_trang,
FN,756,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_2138.jpg,khong_khau_trang,co_khau_trang,
FN,819,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_2477.jpg,khong_khau_trang,co_khau_trang,
FN,833,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_2581.jpg,khong_khau_trang,co_khau_trang,
FN,836,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_2601.jpg,khong_khau_trang,co_khau_trang,
FN,837,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_2609.jpg,khong_khau_trang,co_khau_trang,
FN,868,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_2838.jpg,khong_khau_trang,co_khau_trang,
FN,883,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_293.jpg,khong_khau_trang,co_khau_trang,
FN,894,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_2998.jpg,khong_khau_trang,co_khau_trang,
FN,900,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_3028.jpg,khong_khau_trang,co_khau_trang,
